iter	Logloss
0	0.3914664919
1	0.236842649
2	0.1341779328
3	0.07885137598
4	0.04829480636
5	0.03153260273
6	0.02136280774
7	0.01536037302
8	0.0115136659
9	0.009012810433
10	0.007154969192
11	0.00606380999
12	0.005245340676
13	0.004654197344
14	0.004222904871
15	0.003878008862
16	0.003611206192
17	0.003415169547
18	0.003251046459
19	0.003117722481
20	0.003001494457
21	0.002921228068
22	0.002829078826
23	0.002772682736
24	0.002722801546
25	0.002680039598
26	0.002650341941
27	0.002625754544
28	0.002564174071
29	0.002547320576
30	0.002516863614
31	0.002481140324
32	0.002465461264
33	0.002446800629
34	0.002395836371
35	0.002377403129
36	0.002327018727
37	0.002298370397
38	0.002265369649
39	0.002254960469
40	0.002228821277
41	0.002198660151
42	0.002168842229
43	0.002154184213
44	0.002135734987
45	0.002120712281
46	0.002106153645
47	0.002097006608
48	0.002083265455
49	0.002066056168
50	0.002046655597
51	0.002034593951
52	0.002019629085
53	0.002013025618
54	0.002005644937
55	0.001995726073
56	0.001988925858
57	0.001982479599
58	0.001959980861
59	0.001937385269
60	0.001922700338
61	0.001906283798
62	0.001901486324
63	0.001894746923
64	0.001883470438
65	0.001873065461
66	0.001863602152
67	0.001858946011
68	0.00185321123
69	0.001833418972
70	0.001828574723
71	0.001821775103
72	0.001801575219
73	0.001793411708
74	0.001773104498
75	0.001771523703
76	0.001764613539
77	0.001756529411
78	0.001744170719
79	0.001739714479
80	0.001735983681
81	0.00173347622
82	0.001723588743
83	0.00171761884
84	0.001711200082
85	0.001702939861
86	0.001694824667
87	0.001687695878
88	0.001681281486
89	0.001667006418
90	0.001649757226
91	0.001640855065
92	0.001625536997
93	0.001612466983
94	0.001608522083
95	0.001596806955
96	0.001589374567
97	0.001582602609
98	0.001579977607
99	0.001574083168
100	0.001570745708
101	0.001566727478
102	0.001559853892
103	0.00155603828
104	0.001553491937
105	0.001548837527
106	0.001541721564
107	0.001537923571
108	0.001535656442
109	0.001518456673
110	0.001503255237
111	0.001495838981
112	0.001493429531
113	0.001487275166
114	0.001483286035
115	0.001480650245
116	0.001478221604
117	0.001476591271
118	0.001472618317
119	0.001465403828
120	0.001456566011
121	0.001446494837
122	0.001440346993
123	0.001436165529
124	0.001425487378
125	0.00142173738
126	0.001402369
127	0.001398847061
128	0.001392514908
129	0.001389067434
130	0.001376415249
131	0.001368487683
132	0.001362516768
133	0.001359002937
